"","Year","Freq"
"1","1958",7
"2","1959",8
"3","1960",25
"4","1961",70
"5","1962",911
"6","1963",869
"7","1964",756
"8","1965",897
"9","1966",838
"10","1967",838
"11","1968",912
"12","1969",929
"13","1970",951
"14","1971",975
"15","1972",1223
"16","1973",1229
"17","1974",1611
"18","1975",1997
"19","1976",1979
"20","1977",2345
"21","1978",1554
"22","1979",2555
"23","1980",2616
"24","1981",2572
"25","1982",3145
"26","1983",3263
"27","1984",3387
"28","1985",3073
"29","1986",3668
"30","1987",3328
"31","1988",3162
"32","1989",3357
"33","1990",3549
"34","1991",3626
"35","1992",3931
"36","1993",3666
"37","1994",4202
"38","1995",4333
"39","1996",4436
"40","1997",5003
"41","1998",5044
"42","1999",5450
"43","2000",6002
"44","2001",6423
"45","2002",6750
"46","2003",6958
"47","2004",7160
"48","2005",7588
"49","2006",8125
"50","2007",8563
"51","2008",8253
"52","2009",8793
"53","2010",8741
"54","2011",9081
"55","2012",9158
"56","2013",8980
"57","2014",9460
"58","2015",8875
"59","2016",7700
"60","2017",6024
"61","2018",805
