;FECHA;ENERGIA
1;01/03/2019;292920.4036
2;02/03/2019;246862.6036
3;03/03/2019;188705.5192
4;04/03/2019;287408.334
5;05/03/2019;296516.863
6;06/03/2019;300311.8174
7;07/03/2019;301790.4609
8;08/03/2019;301709.35
9;09/03/2019;257097.6214
10;10/03/2019;197855.4377
11;11/03/2019;296646.4396
12;12/03/2019;300828.2798
13;13/03/2019;304039.5185
14;14/03/2019;305550.6174
15;15/03/2019;302916.113
16;16/03/2019;259780.202
17;17/03/2019;197234.7004
18;18/03/2019;295563.159
19;19/03/2019;291013.7963
20;20/03/2019;297480.9582
21;21/03/2019;294028.3541
22;22/03/2019;289770.0179
23;23/03/2019;241359.8394
24;24/03/2019;183688.2947
25;25/03/2019;193689.3714
26;26/03/2019;291901.4367
27;27/03/2019;301079.9893
28;28/03/2019;304392.9097
29;29/03/2019;295739.8079
30;30/03/2019;250382.5405
31;31/03/2019;194083.9154
32;01/04/2019;284533.6659
33;02/04/2019;285253.1557
34;03/04/2019;282750.647
35;04/04/2019;294609.7135
36;05/04/2019;296498.5843
37;06/04/2019;250809.5755
38;07/04/2019;192758.5806
39;08/04/2019;291313.4146
40;09/04/2019;297983.4364
41;10/04/2019;296141.6851
42;11/04/2019;300339.3168
43;12/04/2019;303102.4423
44;13/04/2019;256713.5709
45;14/04/2019;196493.9484
46;15/04/2019;280346.7685
47;16/04/2019;288955.3887
48;17/04/2019;269337.0209
49;18/04/2019;188837.3713
50;19/04/2019;171018.1863
51;20/04/2019;196888.3246
52;21/04/2019;179116.2152
53;22/04/2019;273262.2845
54;23/04/2019;288542.4145
55;24/04/2019;296019.6306
56;25/04/2019;300180.9199
57;26/04/2019;302099.4397
58;27/04/2019;253625.0922
59;28/04/2019;199538.2216
60;29/04/2019;296142.6758
61;30/04/2019;301899.266
62;01/05/2019;219749.041
63;02/05/2019;301257.7656
64;03/05/2019;299696.1444
65;04/05/2019;258195.7375
66;05/05/2019;200764.0236
67;06/05/2019;303144.8155
68;07/05/2019;310126.7207
69;08/05/2019;303446.6174
70;09/05/2019;299760.6537
71;10/05/2019;298167.7636
72;11/05/2019;254879.8187
73;12/05/2019;193290.5667
74;13/05/2019;293048.7305
75;14/05/2019;299438.7348
76;15/05/2019;298721.8098
77;16/05/2019;301315.8553
